id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name
29,90,0,0,0,3,0,0,0,0,0,0,0,22,27.0,22.1,0.0,4.9,2,FALSE,Jack,Grealish,Grealish
30,90,0,0,0,3,0,0,0,0,0,0,0,0,1.4,5.3,8.0,1.5,2,FALSE,Anwar,El Ghazi,El Ghazi
31,90,1,0,0,3,0,0,0,0,0,0,0,23,49.6,13.4,24.0,8.7,7,FALSE,John,McGinn,McGinn
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Andre,Green,Green
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Birkir,Bjarnason,Bjarnason
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Keinan,Davis,Davis
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Henri,Lansbury,Lansbury
36,31,0,0,0,3,0,0,0,0,0,0,0,1,3.6,0.8,0.0,0.4,1,FALSE,José Ignacio,Peleteiro Romallo,Jota
49,90,0,1,1,0,0,0,0,0,0,0,0,16,6.0,10.9,4.0,2.1,6,FALSE,Pascal,Groß,Groß
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Alireza,Jahanbakhsh,Jahanbakhsh
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,José Heriberto,Izquierdo Mena,Izquierdo
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Anthony,Knockaert,Knockaert
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Yves,Bissouma,Bissouma
54,90,0,1,1,0,0,0,0,0,0,0,0,26,30.8,16.3,1.0,4.8,6,FALSE,Davy,Pröpper,Pröpper
55,90,0,0,1,0,0,0,0,0,0,0,0,15,13.8,1.8,0.0,1.6,3,FALSE,Solomon,March,March
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Beram,Kayal,Kayal
